,ENGAGED_df6,prob,prob_d
47992,1,0.8761194534024134,1
68178,1,0.4300428119667641,1
7925,0,0.11611725423077063,0
77861,1,0.8089884303163551,1
7415,0,0.10757245524205725,0
64637,0,0.08901665697399448,0
36906,0,0.2957884346115414,1
64236,0,0.08188767263932457,0
39995,0,0.15041498210285628,0
15560,0,0.21079579580454524,0
14807,0,0.11571057933558553,0
32678,0,0.15937681603528228,0
35042,0,0.08156947683577924,0
23007,0,0.07815579197761093,0
53662,0,0.1987124212806283,0
60155,0,0.11148217307795297,0
49004,1,0.09478491914763228,0
33240,0,0.08303571447233266,0
66717,1,0.20421789418994768,0
25984,0,0.07300687719383986,0
47508,0,0.13845530963624886,0
7179,1,0.9450010677628673,1
60844,0,0.10685764819844643,0
42934,1,0.9200245676820322,1
39898,0,0.08015437871630485,0
28120,0,0.09668770597912472,0
63137,1,0.7272852053211298,1
71523,0,0.10279943275727259,0
79393,0,0.063956496661229,0
74925,0,0.09458138955887929,0
55429,0,0.14913195641578164,0
16429,1,0.130843691297837,0
59648,1,0.19251033296251494,0
69564,0,0.0866921408171493,0
51365,0,0.1141492660820171,0
7108,0,0.09095521815690409,0
40645,0,0.16945532533713512,0
14689,0,0.08762203587323068,0
77243,0,0.06759617773407903,0
39410,0,0.08770170769411835,0
12399,0,0.0768512110800475,0
3923,0,0.16338220467296438,0
518,0,0.14600833098103952,0
29462,1,0.14698332993898516,0
58016,0,0.13070908466148404,0
78411,0,0.1305219905844204,0
80205,0,0.09289716198855529,0
1568,1,0.9999897509349418,1
73748,0,0.18680619899095735,0
45460,1,0.25815764222605325,1
35697,1,0.07297962843124008,0
11991,1,0.9161567668823842,1
17303,0,0.15623823326301076,0
74929,0,0.0923800238802601,0
4871,1,0.38566958268265855,1
49315,1,0.9999998800471457,1
12509,0,0.10881751680405767,0
3305,0,0.14009462923923058,0
54383,0,0.10496642436704214,0
3493,0,0.17703090230262802,0
73690,0,0.12999838579159928,0
30861,0,0.09412708319454259,0
34112,0,0.07783499515384357,0
30602,0,0.08255871574777471,0
25949,0,0.1684759065229334,0
44434,1,0.9731286603920477,1
